OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
52,21-286,Remington Lake,Delta,,LMN,1,-86.61677000000,46.02554000000,452104.27068000000,608373.64410000000,,,
53,21-295,West Lake,Delta,,LMN,1,-86.51399000000,46.00915000000,460047.06044000000,606496.52275000000,,,
54,2-13,Squaw Ponds,Alger,,LMN,1,-86.67178000000,46.23652000000,448043.30398000000,631848.57760000000,,,
55,21-300,Frying Pan Lake,Delta,,LMN,1,-86.59704000000,46.00971000000,453617.59000000000,606602.83283000000,,,
56,21-31,North Lake,Delta,,LMN,1,-87.19593000000,45.64888000000,406654.35462000000,567036.28554000000,,,
57,21-314,Waco Lake,Delta,,LMN,1,-86.73788000000,46.04888000000,442754.93259000000,611045.46232000000,,,
58,21-316,Gleason Lake,Delta,,LMN,1,-86.71065000000,46.05110000000,444863.05748000000,611273.24123000000,,,
59,21-320,Kenobo Lake,Delta,,LMN,1,-86.69427000000,46.04221000000,446122.30126000000,610274.49029000000,,,
60,21-325,Polack Lake,Delta,,LMN,1,-86.72399000000,46.03554000000,443815.97750000000,609554.28498000000,,,
61,21-326,Narbon Lake,Delta,,LMN,1,-86.73899000000,46.04054000000,442660.41876000000,610120.43078000000,,,
62,21-329,Mahskeekee Lake,Delta,,LMN,1,-86.62093000000,46.02082000000,451777.76989000000,607851.39450000000,,,
63,21-331,Billy Good Lake,Delta,,LMN,1,-86.62593000000,46.01526000000,451385.93267000000,607237.22903000000,,,
64,21-337,Cache Lake,Delta,,LMN,1,-86.67677000000,45.99832000000,447434.99890000000,605386.64419000000,,,
65,21-339,Coolaw Lakes,Delta,,LMN,1,-86.65093000000,45.99776000000,449434.88204000000,605308.36921000000,,,
66,21-34,First Lake,Menominee,,LMN,1,-87.32621000000,45.72554000000,396644.82802000000,575713.51903000000,,,
67,21-355,McDonald Lake,Delta,,LMN,1,-86.80621000000,46.04054000000,437459.27581000000,610170.74899000000,,,
