"","Parameter","Eta2_partial","CI","CI_low","CI_high","Interpretation"
"1","year",0.00018779951238692,0.95,0,1,"very small"
"2","AGE",0.718229887719898,0.95,0.737111337196702,1,"large"
"3","I(logarea^2)",0.00506828796223333,0.95,0.0031523481587455,1,"very small"
"4","I(logdepth^2)",0.0121447375137694,0.95,0.00907763011737247,1,"very small"
"5","year:AGE",0.0358076108231393,0.95,0.0300692649733665,1,"small"
